
# Curve 0 of 1, 100 points
# Curve title: "f(x)"
# x y type
 0  0  i
 0.010101 -0.00999863  o
 0.020202 -0.0197911  o
 0.030303 -0.0293752  o
 0.040404 -0.0387487  o
 0.0505051 -0.0479092  o
 0.0606061 -0.0568544  o
 0.0707071 -0.0655818  o
 0.0808081 -0.0740887  o
 0.0909091 -0.0823726  o
 0.10101 -0.0904308  o
 0.111111 -0.0982605  o
 0.121212 -0.105859  o
 0.131313 -0.113223  o
 0.141414 -0.12035  o
 0.151515 -0.127237  o
 0.161616 -0.133881  o
 0.171717 -0.140279  o
 0.181818 -0.146426  o
 0.191919 -0.152322  o
 0.20202 -0.157961  o
 0.212121 -0.16334  o
 0.222222 -0.168457  o
 0.232323 -0.173307  o
 0.242424 -0.177887  o
 0.252525 -0.182194  o
 0.262626 -0.186223  o
 0.272727 -0.189971  o
 0.282828 -0.193434  o
 0.292929 -0.196608  o
 0.30303 -0.199489  o
 0.313131 -0.202073  o
 0.323232 -0.204356  o
 0.333333 -0.206333  o
 0.343434 -0.208  o
 0.353535 -0.209352  o
 0.363636 -0.210386  o
 0.373737 -0.211095  o
 0.383838 -0.211476  o
 0.393939 -0.211523  o
 0.40404 -0.211231  o
 0.414141 -0.210596  o
 0.424242 -0.209611  o
 0.434343 -0.208271  o
 0.444444 -0.20657  o
 0.454545 -0.204503  o
 0.464646 -0.202063  o
 0.474747 -0.199244  o
 0.484848 -0.19604  o
 0.494949 -0.192444  o
 0.505051 -0.188448  o
 0.515152 -0.184046  o
 0.525253 -0.179231  o
 0.535354 -0.173994  o
 0.545455 -0.168328  o
 0.555556 -0.162223  o
 0.565657 -0.155673  o
 0.575758 -0.148667  o
 0.585859 -0.141196  o
 0.59596 -0.133251  o
 0.606061 -0.124821  o
 0.616162 -0.115896  o
 0.626263 -0.106465  o
 0.636364 -0.0965157  o
 0.646465 -0.0860373  o
 0.656566 -0.0750166  o
 0.666667 -0.0634407  o
 0.676768 -0.0512958  o
 0.686869 -0.0385676  o
 0.69697 -0.0252411  o
 0.707071 -0.0113005  o
 0.717172  0.0032706  i
 0.727273  0.0184895  i
 0.737374  0.0343744  i
 0.747475  0.0509444  i
 0.757576  0.0682194  i
 0.767677  0.0862206  i
 0.777778  0.10497  i
 0.787879  0.124491  i
 0.79798  0.144809  i
 0.808081  0.165948  i
 0.818182  0.187937  i
 0.828283  0.210805  i
 0.838384  0.234581  i
 0.848485  0.259298  i
 0.858586  0.28499  i
 0.868687  0.311694  i
 0.878788  0.339447  i
 0.888889  0.36829  i
 0.89899  0.398266  i
 0.909091  0.42942  i
 0.919192  0.461802  i
 0.929293  0.495463  i
 0.939394  0.530457  i
 0.949495  0.566844  i
 0.959596  0.604685  i
 0.969697  0.644049  i
 0.979798  0.685006  i
 0.989899  0.727632  i
 1  0.77201  i


# Curve 0 of 1, 201 points
# Curve title: ""/home/denis/Workspace/gnupl-dir/gnu/matrix/bin/data/talkdir.txt""
# x y type
-1  2.83458  i
-0.979798  2.77236  i
-0.959596  2.71212  i
-0.939394  2.65355  i
-0.919192  2.59638  i
-0.89899  2.54042  i
-0.878788  2.48547  i
-0.858586  2.4314  i
-0.838384  2.3781  i
-0.818182  2.32547  i
-0.79798  2.27345  i
-0.777778  2.22199  i
-0.757576  2.17105  i
-0.737374  2.12063  i
-0.717172  2.07071  i
-0.69697  2.02131  i
-0.676768  1.97244  i
-0.656566  1.92414  i
-0.636364  1.87642  i
-0.616162  1.82935  i
-0.59596  1.78295  i
-0.575758  1.73729  i
-0.555556  1.69241  i
-0.535354  1.64839  i
-0.515152  1.60527  i
-0.494949  1.56313  i
-0.474747  1.52202  i
-0.454545  1.48202  i
-0.434343  1.44319  i
-0.414141  1.4056  i
-0.393939  1.36931  i
-0.373737  1.33439  i
-0.353535  1.3009  i
-0.333333  1.26891  i
-0.313131  1.23847  i
-0.292929  1.20965  i
-0.272727  1.18249  i
-0.252525  1.15705  i
-0.232323  1.13339  i
-0.212121  1.11154  i
-0.191919  1.09155  i
-0.171717  1.07346  i
-0.151515  1.0573  i
-0.131313  1.04311  i
-0.111111  1.0309  i
-0.0909091  1.0207  i
-0.0707071  1.01253  i
-0.0505051  1.00639  i
-0.030303  1.0023  i
-0.010101  1.00026  i
 0.010101  1.00025  i
 0.030303  1.00229  i
 0.0505051  1.00635  i
 0.0707071  1.01241  i
 0.0909091  1.02045  i
 0.111111  1.03044  i
 0.131313  1.04234  i
 0.151515  1.05612  i
 0.171717  1.07174  i
 0.191919  1.08913  i
 0.212121  1.10825  i
 0.232323  1.12904  i
 0.252525  1.15142  i
 0.272727  1.17534  i
 0.292929  1.20071  i
 0.313131  1.22745  i
 0.333333  1.25548  i
 0.353535  1.28471  i
 0.373737  1.31505  i
 0.393939  1.34639  i
 0.414141  1.37863  i
 0.434343  1.41167  i
 0.454545  1.4454  i
 0.474747  1.47968  i
 0.494949  1.51442  i
 0.515152  1.54947  i
 0.535354  1.58471  i
 0.555556  1.62002  i
 0.575758  1.65524  i
 0.59596  1.69024  i
 0.616162  1.72488  i
 0.636364  1.75899  i
 0.656566  1.79243  i
 0.676768  1.82504  i
 0.69697  1.85664  i
 0.717172  1.88706  i
 0.737374  1.91613  i
 0.757576  1.94365  i
 0.777778  1.96944  i
 0.79798  1.99329  i
 0.818182  2.01498  i
 0.838384  2.0343  i
 0.858586  2.05099  i
 0.878788  2.0648  i
 0.89899  2.07546  i
 0.919192  2.08268  i
 0.939394  2.08613  i
 0.959596  2.08546  i
 0.979798  2.08028  i
 1  2.07017  i

-1  2.83458  i
-0.979798  2.77236  i
-0.959596  2.71212  i
-0.939394  2.65355  i
-0.919192  2.59638  i
-0.89899  2.54042  i
-0.878788  2.48547  i
-0.858586  2.4314  i
